id,mentioned_id,mentioned_screen_name
991241865297997824,69231187,UNHumanRights
992605111963664384,2425151,facebook
991858255747002369,1029468187,GoyCrazy
992674895128506368,66019768,ASavageNation
991745345100148737,878277273014743041,abrmali
991735954561011713,14260960,JustinTrudeau
991735954561011713,12848262,TorontoStar
991735954561011713,2809959174,fordnation
991735954561011713,256360738,AndrewScheer
991743899788967936,738153522277945344,dawg_lb
991743899788967936,822215679726100480,POTUS
991743899788967936,66369181,DeptofDefense
991746850184224768,6751502,labour
991431269513756672,14947962,cityofokc
991431269513756672,460785613,HouseDemsOK
991431269513756672,2249415781,oksenategop
991747353467146243,240454812,GenFlynn
992424571121827840,719523870374563840,ahmetsyayla
992501030364434432,822215679726100480,POTUS
991766413063933952,2320114243,LarryClegg1
991766413063933952,16324055,JohnDRobinson
991766413063933952,462679202,Rockinchick69
991766413063933952,21607132,jamespavlick
991766413063933952,318062168,fantomseeker
991766413063933952,46302096,JTMYVA
991766413063933952,25073877,realDonaldTrump
991766413063933952,988573326376427520,SecPompeo
991896988026359808,20685982,boyscouts
991722327904677888,2903166449,MrEdTrain
991876091907207168,783214,Twitter
991512017667174400,267856525,michelleisawolf
991726590445826048,16537989,FOXTV
991476607251460096,822215679726100480,POTUS
991476607251460096,818910970567344128,VP
991476607251460096,1074480192,SenTedCruz
991476607251460096,359403242,kelliwardaz
991476607251460096,22456513,RealErinCruz
991476607251460096,248113252,RealOmarNavarro
991788034726260736,10228272,YouTube
991852604115357696,2177097448,Grizzly_AdamsSC
991299358388781056,705039372429750272,coalition
992720052599242752,1976143068,EmmanuelMacron
992720052599242752,303815965,intFLC
991752334626586624,169686021,kanyewest
991721349449158656,235897523,SomeGuyInOKC
991721349449158656,879785909490786305,soldierofyah
991703421207154688,897619242,PinnacleSports
992926874585059333,3095208549,kittenpants321
992852528101380097,988963736919691264,JackDid911
992934593849380865,898201032332857344,Maverick4201889
992935864715087873,144312481,eddietours
992935864715087873,742992393113378816,theoatens
990617902616203265,131249283,GatestoneInst
992852011132571648,1631241524,SMARTNewsAgency
992885244666753024,20796069,jensstoltenberg
992787388161142785,223970563,TeamCavuto
993118212081573890,168117676,Pyrmha108
951618075308318720,821014010128637953,esothetic
992727938926874625,986716327774572544,0GJCRO
992727938926874625,3313329508,sawmilltaters
992727938926874625,3140905040,Gigiwinsagain
992727938926874625,2360270096,jeffery_alford
993168715679240193,82299300,navalny
993168715679240193,880043087384412160,thebell_io
993201535831207936,705039372429750272,coalition
993201535831207936,2876420003,CJTFOIR
993201535831207936,83795099,NATO
993267508349165568,757230184831524865,AlexJMcNabb
