author_id,total_hashtags,different_hashtags
11325152,1,1
19349900,1,1
21447363,1,1
22153676,2,2
23074563,2,2
37030566,1,1
38164483,2,2
39082174,2,2
67813133,3,3
98996662,7,4
108524355,2,1
109900053,2,2
126758373,8,8
165255622,4,4
213555363,1,1
248829087,1,1
253702889,1,1
326584594,3,3
365854454,6,6
430734653,2,2
435725661,16,4
515233484,1,1
577483196,2,1
591505507,2,2
630302721,3,3
901450350,2,1
1016063701,1,1
1045558231,1,1
1071964740,3,2
1077181999,1,1
1142312972,10,4
1231779054,1,1
1379066754,1,1
1627708843,1,1
1670366851,1,1
1930267483,3,3
2272855274,1,1
2323137780,2,2
2473757377,1,1
2596413645,15,8
2713427480,5,5
2752052868,2,2
2834579854,12,12
2841998391,7,3
2852359916,1,1
2875479268,3,3
2913180110,1,1
2927236667,18,17
2961037665,1,1
3004512429,1,1
3089155533,6,3
3089497123,3,3
3244921294,13,6
3298302672,1,1
3302455838,3,3
3685392135,2,1
4059738563,2,2
702303494053634049,2,2
719153440107204608,8,8
723206253296640000,4,2
725314701769474048,1,1
738153522277945344,11,2
761072450272493568,1,1
763788888095719424,1,1
779362169490210820,1,1
784765142349258752,1,1
787776888097927169,1,1
796385860975493120,1,1
806465743957225474,5,4
816731937964511234,2,2
832763991487164416,1,1
847735496633536512,3,3
865653764870381568,1,1
897768084714508289,1,1
922185407571390465,3,3
941680316506411009,1,1
945912853197864960,4,3
949627738322866178,1,1
955730343021219840,8,6
956988729402560513,1,1
957358675605278721,1,1
963508481780322304,3,1
980116740972695552,4,4
989645280155860992,1,1
991784677601095680,2,2
