source,target,weight
1000088053602439168,954124423,1
1000155949305393152,954124423,1
1000263760081244160,954124423,1
1000335023831207936,869193235918454786,1
1000545797094760453,4330569813,1
1000730770523213827,954124423,1
1001197527876620288,813914393788481540,1
1001452195,869193235918454786,1
1001569243534675968,954124423,1
1001688824530046977,2596413645,1
1001798397437751296,270694788,1
1001987381371789312,869193235918454786,1
1002059037863624704,813914393788481540,2
1002135003134877697,287843201,1
1002202325992267776,2596413645,1
100270699,738153522277945344,1
1002822683363561472,954124423,1
1003761182317002752,738153522277945344,1
1003954016,78523300,1
1004055850275758080,18118505,1
1004588514359545856,813914393788481540,1
1005007371159068673,914534536083632128,1
1005159812282376192,740983399729401856,1
1005568964360114176,954124423,1
1005711443507982337,23089228,1
1005713909997858816,302111485,1
1006136742234058752,2852359916,1
1006623084353290242,302111485,1
1007027862631845889,813914393788481540,1
1007304467493072896,2596413645,1
1007804815399768064,98996662,1
1007857713261338624,23089228,1
1008026223660822528,302111485,1
1008527718307287040,869193235918454786,1
1008998380805214209,302111485,1
1009430082534957056,1525739881,1
1009971124921348096,302111485,1
1010176007213547522,2596413645,1
101171135,954124423,1
1012770312482672640,839935334343454720,1
1017662618,954124423,1
102180618,954124423,1
1023401504,1023401504,1
1023482821,302111485,1
1027972254,954124423,1
1029962912,2596413645,2
1030152997,954124423,1
1035784416,897619242,1
1038078139,3244921294,1
1038078139,403436252,1
1038078139,993768844052353024,1
103999662,954124423,1
1040582791,954124423,1
1049319918,2596413645,1
105297108,954124423,1
1053184238,954124423,1
105527522,738153522277945344,1
1056125887,302111485,1
105920014,954124423,1
1061696234,2407147844,1
1061696234,48254061,1
106183468,287843201,1
106344088,2596413645,1
106344088,954124423,1
1074607166,954124423,1
107603126,2596413645,1
1079343476,302111485,1
108199025,2596413645,1
108199025,954124423,1
108379080,954124423,1
1084722812,164076105,1
1096566492,954124423,1
1100079385,248829087,1
1108822789,847735496633536512,1
111056827,287843201,1
1111381026,982295734220288000,1
111247911,955730343021219840,1
1114271070,98996662,1
111468677,2596413645,1
1117957238,3306484243,1
1121188345,184267522,1
1126515804,302111485,1
113081744,954124423,1
113186336,954124423,1
1132438009,1250732774,1
1140206870,2596413645,1
1142312972,798992675328446464,1
1147086920,2596413645,1
1148372244,287843201,2
114888335,813914393788481540,1
114925067,2596413645,1
114955534,282055947,1
114955534,49946953,1
114955534,586163145,1
1154011676,738153522277945344,1
1154562776,869193235918454786,1
116406451,869193235918454786,1
116467564,954124423,1
116570112,116570112,5
1166619931,954124423,1
1167448458,287843201,1
1167756360,920368565575999488,3
1172835318,954124423,1
1178921706,954124423,1
1180077127,954124423,1
118147297,847735496633536512,1
1183065134,813914393788481540,1
1185436171,287843201,1
118751135,285994737,1
119910488,78523300,1
120146232,955730343021219840,1
120508240,869193235918454786,1
1210365194,302111485,1
121541121,287843201,1
1215445963,2984077096,1
121860074,954124423,1
1226831354,2596413645,1
123409648,3089155533,1
1242790830,954124423,1
124371986,2596413645,1
1245118692,738153522277945344,1
12475032,738153522277945344,1
12475032,954124423,1
1247857681,954124423,1
