id,lang,text
991644054202081281,en,Everything is OK now though! https://t.co/qLzArrht8i
991061909209337856,en,*New Follower*  Looks at page... 35.7k followers   Me: https://t.co/qX7YdJQ1iq
991690735224176640,en,I feel so much better I was talking to my friend and she said pray to God for strength and honestly I feel like it’s gonna help i gotta start being more positive cause I’m always thinking the worst and it’s so bad urg
990336559550382080,en,I just wanna chill https://t.co/vBrgW9Wy40
991690358164738055,en,@realDonaldTrump JUST TO BE CLEAR A POTUS is granted special powers such as pardon: but one power that is EXPLICITLY NEVER granted is to POWER TO BREAK THE LAW You can pardon or fire but NEVER to break law &amp; obstruct justice Nor can you COMMIT TREASON
991686017911525376,en,PEBBLES (silver tabby tuxedo) &amp; BAM BAM (black &amp; white tuxedo) are back from their foster home &amp; ready for s forever home! #adoptdontshop #kittens #CatsOfTwitter #kittensoftwitter #WhiskerWednesday https://t.co/XRrYHCwvgF
991442376681033728,en,This is what affection and constant reassurance feels like https://t.co/sePS87sPk0
990517238649176064,en,20180429 #TFBOYS Jackson Yee Yangqianxi Studio Weibo Update https://t.co/vz4dMFWjiq
991605514076409858,en,"At midday on May 4th, fire stations across the UK will fall silent for one minute to commemorate the bravery and sacrifice of the 2,524 firefighters who have died in the line of duty #FMD18 please pause with us #NeverForget #999Heroes https://t.co/H1Enn79gp7"
991690735228538881,en,Numerous Arrests following Game Room Raid  https://t.co/9asCsC1lny
991666356276879360,en,"Those of you that take jokes seriously what exactly is missing in your lives??  Is it love, money, sense??"
991686609396551680,en,Assurance https://t.co/L8To0gIIc4
991666356276879360,en,"Those of you that take jokes seriously what exactly is missing in your lives??  Is it love, money, sense??"
991686609396551680,en,Assurance https://t.co/L8To0gIIc4
990625570319945730,en,Definition of fucking deserved better. https://t.co/isdAun9arm
991690735241097216,en,Football Coaching is this evening from 5-7pm. For everyone aged 15-19 years https://t.co/661JrV3DcL
968502768645238787,en,Moniter 🎶🎵 ing 🛫✈️🛬 WITH Supreme Boi  #HopeWorld #jhopeMixtape  #2018Hopeday #D_2 https://t.co/7p3KtffKVU
991650952364134400,en,"#SiddaramaiahRocks simply because @siddaramaiah has ""Delivered As Promised"".  Unlike Yeddy who was the first CM in the history to go to Jail and has proven records including faux-paus award on the ""Most Corrupt"". https://t.co/VyMg8uYuJp"
991629146815164416,en,Trump’s current team of lawyers lacks the security clearances needed to discuss sensitive issues related to a possible interview Mueller. https://t.co/xh0gtsuMzK
991306062199324672,en,i'd bet on taehyung not letting go of jungkook's hand if the camera wasn't on them (:  (c) _NVB_KV https://t.co/QEnDXq3Xr2
990947537971482624,en,"One Direction got millions of people to stay up for 7 hours just to watch them do a fashion show, pop some balloons, wrestle, do pottery, &amp; dye Niall’s hair lilac all while pretending their album didn’t leak."
991690739422760965,en,"or, maybe, your next badger"
991690739431096320,en,@TMZ Kanye Waste needs to stop blaming his rants and raves on his opioid use and start taking responsibility and accountability on what he does and says.
991690739447947269,en,"If anyone knows someone that’s super good at drawing, send em my way 🤗"
991690739439624193,en,"Discovered lovely @KortKneee_Rae this week! Thank you for caring about conservation, &amp; for your kind support of Grey Future film 🐘🦏  https://t.co/LUQQO7BLrw  It’s a pleasure to be in contact with you!"
991690739443789830,en,"@owainpj @Timmo3578gmail1 @theipaper If you could be arsed reading it, the government implicitly says that if uk votes to leave then they would seek eea membership."
991400076516864000,en,PLEASE HELP OUT MY THIRD HOUR &amp; RETWEET THIS!! https://t.co/aLPxlTM4ve
991152865220624384,en,"i love you gorl, i ain’t gone never stop lovin’ you, gorl https://t.co/yKg54vkKRH"
991413436960706561,en,OKAY I'VE SEEN THIS TYPE OF MEME LIKE 20 TIMES A ROW AND I'VE LAUGHED EVERY SINGLE FUCKIN TIME LIKE THIS MEME HAS SO MUCH POWER I CAN'T https://t.co/v1uTzDyVtm
991152865220624384,en,"i love you gorl, i ain’t gone never stop lovin’ you, gorl https://t.co/yKg54vkKRH"
991413436960706561,en,OKAY I'VE SEEN THIS TYPE OF MEME LIKE 20 TIMES A ROW AND I'VE LAUGHED EVERY SINGLE FUCKIN TIME LIKE THIS MEME HAS SO MUCH POWER I CAN'T https://t.co/v1uTzDyVtm
991621394604613632,en,Yuju and her completely normal dance https://t.co/HNWlq7ura7
991654379668172800,en,Be mine gift♡  👟  #MTBB2ndMay #MarkBam #MarkBamFanArt  https://t.co/VWqftGnL9C
978157886781050880,en,"26 march, 2018 this day Momerable day in my life!! thank u... Veryyyyy much rakul jii for the beautiful reply to me!! I am jumping right know!! 😄😄😄😄 I will see you soon Rakul.... 😉😉😉😉 It's me Sirisha die heart fan of Rakul 😍 Forever n ever n ever!! 😘😘😘 https://t.co/h6psqhOsig"
990400595818246144,en,Aye Hulk come help us fight Thanos  Hulk bitch ass: https://t.co/ABofCi3qbu
991690743616978944,en,"and really,, I never signed any contracts,, and I never even worked a gov job,,, I'm just some crazy guy"
991513389410250752,en,Steph checks in to make his playoff debut. Immediately hits a three 🔥 https://t.co/FX5JIuzsep
991690743621316608,en,@visar_zeqiri per ty boj lshime
991690743625461760,en,Netflix is the best &amp; worst thing that ever happened to me
991690322097958918,en,I am now available for #DirectChat &amp; Phone Chat Bookings via #AdultWork.com.  Come give me a call! https://t.co/S1x82P8YXQ
991283287023800322,en,"dough: a bread, an uncooked bread ray: of sun that cooks the bread me: a gal who eats the bread fa: ther also eats the bread so: da bread’s a kind of bread la: vash is another bread tea: a drink. anyway, bread! that will bring us back to dough"
991682263099297793,en,@Jimmy_TheToucan @WTPatty @Stevenf85600801 @llmohr @IloveMartyinMS @AmericanInfid14 @okthunderkgirl @vincent_sable @CRKittle @yankees10giu @MrsGoodoz @tharon_pleiades @memo_muppet @Punkin682 @Goodoz @Jimi_Jammin @DeeVeeW @RealBiddle @jimbo_always @TNmom53 @G_Y_6 @Becky91663 @LarryJo73473714 @Trumpgirl007 @vachilly64 @PhilPrange @robcarlson20 @CatyMoonlight @ShlomoIndiana @joebardude @enterprisenuc @Patriotmom2one @metalfirez @DulingDarlene @ladywolf6700 @Jonessmithadams @SusanWh66843423 @MiddleAgeGodess @Planefixr72 @wink_nod @ThomasMDLee @battleofever @melBELL_USA @DepRetNav @CAWPBT @JohnJohngildea @Fixshorts1 @Jan4USA @JoeHNewYork @h8animalabuse Think.  Born in the US ... males 18 must register for the draft (no college etc if you fail to reg.).  Illegals do not exist.  US males fight &amp; die while illegals benefit.
991690743621345286,en,"Great Bargains... Onnit Semi-Annual Sale: Up to 40% off Onnit Supplements, Nootropics &amp; more (Alpha Brain 90-ct for $60) https://t.co/nicF86WxDZ"
991414873904025601,en,Breaking: #Apple unveils a new $100 billion share buyback program &amp; 16% dividend hike. $AAPL
991415141311877122,en,The GOP tax cuts are working like a charm! https://t.co/apm7c1pf1N
991414873904025601,en,Breaking: #Apple unveils a new $100 billion share buyback program &amp; 16% dividend hike. $AAPL
991415141311877122,en,The GOP tax cuts are working like a charm! https://t.co/apm7c1pf1N
991519908788781056,en,When Massa catch me going to Harriet’s kickback after I called in sick for my field shift earlier.   #IfSlaveryWasAChoice https://t.co/WKs6IaONhk
991468037487452161,en,"#TXST custodians are working on campus until 6:30AM for our finals weeks.  Clean up after yourself, leave a place better than you found it, and thank them for the hard work they put in on campus 😌"
991690743650512896,en,Still into Katerina and Nathan. JulPau then and now! ✨ https://t.co/RZfbEi8cRn
989269652361494528,en,Dropping ANYTHING in the bathroom. https://t.co/LWPd4snPx7
991630327884996610,en,👋Hello guys! Are you ready? 📌We wanted to remind you that on May 3rd we will conduct another AMA Session with our experts! ⏰Our session will be held at 10:30 UTC (which is 16:00 IST). #PEP #PEPNetwork #PEP_Network #gopep #Blockchain #ICO #BTC #ETH #Technology #Invest https://t.co/bdQMvthPhb
991690747840811009,en,Stay Focused &amp; Never Change - WIN!
991683457544736769,en,wait im— https://t.co/Y9FOUf6zzW
991690747836444672,en,oml my husband im— https://t.co/tyLwjeRjkj
991683457544736769,en,wait im— https://t.co/Y9FOUf6zzW
991690747836444672,en,oml my husband im— https://t.co/tyLwjeRjkj
991678882632921088,en,Charles Barkley said he wanted to punch Draymond Green in the face.  Draymond's response: https://t.co/MFFhfIEwEQ
990670252865413120,en,"Who ever didn't see Michelle Wolf stand up routine at yesterday's Corespondents dinner, missed out on a lot of laughter! Here is a you tube link with the whole video:  https://t.co/czPnbr8ihc"
991685531909189632,en,If you under the age of 20 unfollow me. If you still in high school unfollow me
991690747828203521,en,"@JoeSantos316 @DrJaneRuby If that were true she would admit her friend is a raging islomophobe rather than pretending she was facing discrimination for being Jewish. Because she wasn’t, she was avoiding using a service because the drivers were Muslim"
991690747832422400,en,@republic #PeltersAttackKids Anyone indulging in pelting stones is abetting terrorism &amp; must be dealt with steel fist.
991690747815645184,en,chain is the bop of the year you can’t change my mind
991690248399794176,en,A Rigged System - They don’t want to turn over Documents to Congress. What are they afraid of? Why so much redacting? Why such unequal “justice?” At some point I will have no choice but to use the powers granted to the Presidency and get involved!
991674213181337602,en,My culture is NOT your prom dress. https://t.co/xmGN0aCXi9
991362968012115968,ur,ساہیوال والوں نے پی ٹی آئی کے مینار پاکستان والے جلسے کو مات دے دی https://t.co/hygJcwGvkT
991370407503646727,en,Purely local and indigenous crowd. The jalsa was not concentrated at the stadium only but was spread across the length &amp; breadth of Sahiwal https://t.co/NujSfzMDyP
991362968012115968,ur,ساہیوال والوں نے پی ٹی آئی کے مینار پاکستان والے جلسے کو مات دے دی https://t.co/hygJcwGvkT
991370407503646727,en,Purely local and indigenous crowd. The jalsa was not concentrated at the stadium only but was spread across the length &amp; breadth of Sahiwal https://t.co/NujSfzMDyP
991502039627649024,en,"This was in #PuertoRico today. Police used tear gas on people who fight for clean water, electricity, their dignity, their lives. #MayDay  https://t.co/LHXDeFUvyL"
